,Predicted,Real
Brandon Ingram,SF,SF
Marshall Plumlee,C,C
Jaylen Brown,SF,SF
Ben Bentil,PF,PF
Kris Dunn,PG,PG
Buddy Hield,SF,SG
Jamal Murray,SG,SG
Tyler Ulis,PG,PG
Alex Poythress,PF,PF
Skal Labissiere,C,PF
Dejounte Murray,SG,PG
Marquese Chriss,PF,PF
Jakob Poeltl,C,C
Taurean Waller-Prince,SF,SF
Denzel Valentine,PG,SG
Bryn Forbes,SG,SG
Deyonta Davis,C,C
Wade Baldwin,PG,PG
Damian Jones,C,C
Henry Ellenson,PF,PF
Malik Beasley,SF,SG
Caris LeVert,SG,SF
DeAndre' Bembry,SF,SF
Michael Gbinije,PG,SG
Malachi Richardson,SG,SG
Brice Johnson,C,PF
Pascal Siakam,C,PF
Wayne Selden,SG,SG
Cheick Diallo,C,PF
Malcolm Brogdon,SG,SG
Mike Tobey,SF,C
Chinanu Onuaku,C,C
Patrick McCaw,PG,SG
Stephen Zimmerman,SF,C
Diamond Stone,PF,C
Jake Layman,SF,SF
Isaiah Whitehead,SG,PG
Demetrius Jackson,PG,PG
A.J. Hammons,C,C
Georges Niang,SF,PF
